game 2, tick 99: sent board, bot=D, enemy=L
game 2, tick 100: sent board, bot=D, enemy=L
game 2, tick 101: sent board, bot=D, enemy=L
game 2, tick 102: sent board, bot=D, enemy=L
game 2, tick 103: sent board, bot=D, enemy=L
game 2, tick 104: sent board, bot=D, enemy=L
game 2, tick 105: sent board, bot=D, enemy=L
game 2, tick 106: sent board, bot=D, enemy=L
game 2, tick 107: sent board, bot=D, enemy=L
game 2, tick 108: sent board, bot=D, enemy=L
game 2, tick 109: sent board, bot=D, enemy=L
game 2, tick 110: sent board, bot=D, enemy=L
game 2, tick 111: sent board, bot=D, enemy=L
game 2, tick 112: sent board, bot=D, enemy=L
game 2, tick 113: sent board, bot=D, enemy=L
game 2, tick 114: sent board, bot=D, enemy=L
game 2, tick 115: sent board, bot=D, enemy=L
game 2, tick 116: sent board, bot=D, enemy=L
game 2, tick 117: sent board, bot=D, enemy=L
game 2, tick 118: sent board, bot=D, enemy=L
game 2, tick 119: sent board, bot=D, enemy=L
game 2, tick 120: sent board, bot=D, enemy=L
game 2, tick 121: sent board, bot=D, enemy=L
game 2, tick 122: sent board, bot=D, enemy=L
game 2, tick 123: sent board, bot=D, enemy=L
game 2, tick 124: sent board, bot=D, enemy=L
game 2, tick 125: sent board, bot=D, enemy=L
game 2, tick 126: sent board, bot=D, enemy=L
game 2, tick 127: sent board, bot=D, enemy=L
game 2, tick 128: sent board, bot=D, enemy=L
game 2, tick 129: sent board, bot=D, enemy=L
game 2, tick 130: sent board, bot=D, enemy=L
game 2, tick 131: sent board, bot=D, enemy=L
game 2, tick 132: sent board, bot=D, enemy=L
game 2, tick 133: sent board, bot=D, enemy=L
game 2, tick 134: sent board, bot=D, enemy=L
game 2, tick 135: sent board, bot=D, enemy=L
game 2, tick 136: sent board, bot=D, enemy=L
game 2, tick 137: sent board, bot=D, enemy=L
game 2, tick 138: sent board, bot=D, enemy=L
game 2, tick 139: sent board, bot=D, enemy=L
game 2, tick 140: sent board, bot=D, enemy=L
game 2, tick 141: sent board, bot=D, enemy=L
game 2, tick 142: sent board, bot=D, enemy=L
game 2, tick 143: sent board, bot=D, enemy=L
game 2, tick 144: sent board, bot=D, enemy=L
game 2, tick 145: sent board, bot=D, enemy=L
game 2, tick 146: sent board, bot=D, enemy=L
game 2, tick 147: sent board, bot=D, enemy=L
game 2, tick 148: sent board, bot=D, enemy=L
game 2, tick 149: sent board, bot=D, enemy=L
game 2, tick 150: sent board, bot=D, enemy=L
game 2, tick 151: sent board, bot=D, enemy=L
game 2, tick 152: sent board, bot=D, enemy=L
game 2, tick 153: sent board, bot=D, enemy=L
game 2, tick 154: sent board, bot=D, enemy=L
game 2, tick 155: sent board, bot=D, enemy=L
game 2, tick 156: sent board, bot=D, enemy=L
game 2, tick 157: sent board, bot=D, enemy=L
game 2, tick 158: sent board, bot=D, enemy=L
game 2, tick 159: sent board, bot=D, enemy=L
game 2, tick 160: sent board, bot=D, enemy=L
game 2, tick 161: sent board, bot=D, enemy=L
game 2, tick 162: sent board, bot=D, enemy=L
game 2, tick 163: sent board, bot=D, enemy=L
game 2, tick 164: sent board, bot=D, enemy=L
game 2, tick 165: sent board, bot=D, enemy=L
game 2, tick 166: sent board, bot=D, enemy=L
game 2, tick 167: sent board, bot=D, enemy=L
game 2, tick 168: sent board, bot=D, enemy=L
game 2, tick 169: sent board, bot=D, enemy=L
game 2, tick 170: sent board, bot=D, enemy=L
game 2, tick 171: sent board, bot=D, enemy=L
game 2, tick 172: sent board, bot=D, enemy=L
game 2, tick 173: sent board, bot=D, enemy=L
game 2, tick 174: sent board, bot=D, enemy=L
game 2, tick 175: sent board, bot=D, enemy=L
game 2, tick 176: sent board, bot=D, enemy=L
game 2, tick 177: sent board, bot=D, enemy=L
game 2, tick 178: sent board, bot=D, enemy=L
game 2, tick 179: sent board, bot=D, enemy=L
game 2, tick 180: sent board, bot=D, enemy=L
game 2, tick 181: sent board, bot=D, enemy=L
game 2, tick 182: sent board, bot=D, enemy=L
game 2, tick 183: sent board, bot=D, enemy=L
game 2, tick 184: sent board, bot=D, enemy=L
game 2, tick 185: sent board, bot=D, enemy=L
game 2, tick 186: sent board, bot=D, enemy=L
game 2, tick 187: sent board, bot=D, enemy=L
game 2, tick 188: sent board, bot=D, enemy=L
game 2, tick 189: sent board, bot=D, enemy=L
game 2, tick 190: sent board, bot=D, enemy=L
game 2, tick 191: sent board, bot=D, enemy=L
game 2, tick 192: sent board, bot=D, enemy=L
game 2, tick 193: sent board, bot=D, enemy=L
game 2, tick 194: sent board, bot=D, enemy=L
game 2, tick 195: sent board, bot=D, enemy=L
game 2, tick 196: sent board, bot=D, enemy=L
game 2, tick 197: sent board, bot=D, enemy=L
game 2, tick 198: sent board, bot=D, enemy=L
game 2, tick 199: sent board, bot=D, enemy=L
game 2, tick 200: sent board, bot=D, enemy=L
game 2/200: 1-0
game 3, tick 1: sent board, bot=U, enemy=U
game 3, tick 2: sent board, bot=U, enemy=U
game 3, tick 3: sent board, bot=U, enemy=U
game 3, tick 4: sent board, bot=R, enemy=R
game 3, tick 5: sent board, bot=R, enemy=D
game 3, tick 6: sent board, bot=U, enemy=D
game 3, tick 7: sent board, bot=U, enemy=D
game 3, tick 8: sent board, bot=R, enemy=R
game 3, tick 9: sent board, bot=R, enemy=D
game 3, tick 10: sent board, bot=U, enemy=L
game 3, tick 11: sent board, bot=U, enemy=U
game 3, tick 12: sent board, bot=U, enemy=U
game 3, tick 13: sent board, bot=R, enemy=U
game 3, tick 14: sent board, bot=U, enemy=U
game 3, tick 15: sent board, bot=L, enemy=U
game 3, tick 16: sent board, bot=L, enemy=U
game 3, tick 17: sent board, bot=L, enemy=U
game 3, tick 18: sent board, bot=L, enemy=U
game 3, tick 19: sent board, bot=L, enemy=U
game 3, tick 20: sent board, bot=L, enemy=L
game 3, tick 21: sent board, bot=U, enemy=U
game 3, tick 22: sent board, bot=U, enemy=L
game 3, tick 23: sent board, bot=L, enemy=D
game 3, tick 24: sent board, bot=L, enemy=L
game 3, tick 25: sent board, bot=L, enemy=L
game 3, tick 26: sent board, bot=L, enemy=L
game 3, tick 27: sent board, bot=L, enemy=U
game 3, tick 28: sent board, bot=D, enemy=U
game 3, tick 29: sent board, bot=L, enemy=D
game 3, tick 30: sent board, bot=D, enemy=D
game 3, tick 31: sent board, bot=R, enemy=L
game 3, tick 32: sent board, bot=R, enemy=L
